country,year,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
TGO,1992,11.2565560668,1692964166.21823,141.9,1.97728050368432,3822591.0,3.97541336852463,1198000.0194
TGO,1993,11.2565758374,1233508156.38776,139.5,1.94094227466469,3897510.0,3.89993067168459,1245644.196
TGO,1994,11.2565955993,982632621.161695,136.8,2.16482061560808,3982804.0,4.08616884319059,1297597.5432
TGO,1995,11.2566153507,1309378704.22882,134.7,2.54560678461923,4085492.0,4.43073405947362,1356383.344
TGO,1996,11.2566341082,1465311925.4739,132.3,2.97206785901813,4208738.0,4.94051793727277,1425078.6868
TGO,1997,11.2566538405,1498949402.09504,130.2,3.28633384424948,4349349.0,5.21678279527329,1501395.2748
TGO,1998,11.2566735641,1587350761.33089,127.6,3.40896617530235,4500173.0,5.30285348472081,1583160.8614
TGO,1999,11.2566735641,1576092231.45135,125.6,3.29135165101722,4650754.0,5.150036530749,1666830.2336
TGO,2000,11.2566735641,1329110396.45943,123.7,3.023231100598,4793504.0,4.8479983487696,1749628.96
THA,1991,15.2067035167,98234713406.7918,28.9,1.11421447617746,57711519.0,1.72459276997925,17071067.3202
THA,1992,15.4129592945,111452745856.776,27.1,0.887466832973247,58225969.0,1.49414210119699,17328048.3744
THA,1993,15.4561868697,125010690988.821,25.0,0.761712612900325,58671177.0,1.36472951555944,17566150.3938
THA,1994,16.0023285913,144308067331.745,23.1,0.773384581641784,59126690.0,1.37278697566284,17808959.028
THA,1995,16.3850320319,168018557307.614,21.1,0.88143506474686,59650157.0,1.47726602310993,18073997.571
THA,1996,16.8412784515,181947631899.938,19.7,1.01404383465937,60258113.0,1.54070732982859,18354621.2198
THA,1997,17.0406256614,150891449495.045,19.2,1.11500223183185,60933752.0,1.63890650808403,18657914.8624
THA,1998,17.6386561396,111859654863.989,18.6,1.18543926955447,61660383.0,1.70661308767403,18979065.8874
THA,1999,18.6776342216,122629741697.716,18.2,1.20620773844713,62408639.0,1.72467941186582,19309232.9066
THA,2000,19.4225784741,122725247705.559,17.7,1.18887701080389,63155029.0,1.70467441483074,19641214.019
TJK,1991,1.93633287717,2535545389.35646,115.5,2.15702598149172,5418785.0,0.374674533753459,1687409.649
TJK,1992,4.13681568895,1909246640.80838,115.0,1.83288689072042,5519021.0,0.0181903002268159,1687716.6218
TJK,1993,4.13678165875,1646693875.00394,114.1,1.5979751446438,5607922.0,-0.250262284916221,1683498.1844
TJK,1994,4.13674764191,1346074460.78303,112.8,1.48542077214359,5691845.0,-0.397620744939564,1676817.537
TJK,1995,4.13671362015,1231523105.36089,111.1,1.45737620158139,5775404.0,-0.461805390028386,1669091.756
TJK,1996,4.13667954145,1043893062.60575,108.1,1.45983878807508,5860334.0,-0.215008456868113,1665506.9228
TJK,1997,4.13664540439,921843115.774498,104.5,1.43743768803077,5945181.0,-0.265939195983089,1661083.5714
TJK,1998,4.13661120969,1320126664.94978,100.8,1.37805547171571,6027676.0,-0.354839877183378,1655199.8296
TJK,1999,4.13661079139,1086567367.91081,97.0,1.26266685048072,6104268.0,-0.500788105540787,1646931.5064
TJK,2000,4.13661079139,860550294.273467,93.4,1.11654790819071,6172807.0,-0.678563870552627,1635793.855
TKM,1991,2.98633922298,3197224007.42472,95.6,2.80515950437303,3772350.0,2.89381199244872,1702838.79
TKM,1992,2.98636207853,3200539816.0601,92.9,2.86453801069391,3881973.0,2.95311197574065,1753875.4014
TKM,1993,2.98638484416,3179225948.58114,90.2,2.79280371050155,3991917.0,2.88129929149822,1805144.8674
TKM,1994,2.98640752192,2561118608.35516,87.6,2.56201733644954,4095512.0,2.65043467200628,1853628.7312
TKM,1995,2.98643010363,2482228439.71407,85.2,2.23339407656351,4188010.0,2.32173330492321,1897168.53
TKM,1996,2.98645258112,2379281767.9558,82.9,1.88470164695139,4267690.0,2.1052089027828,1937531.26
TKM,1997,2.98647495438,2450084970.24741,80.6,1.58774912398869,4335991.0,1.80777121494891,1972875.905
TKM,1998,2.98649723159,2605688065.08338,78.3,1.35840070922489,4395293.0,1.57793976556847,2004253.608
TKM,1999,2.98649761987,2450686659.778,76.1,1.22411282607201,4449427.0,1.44317096405387,2033388.139
TKM,2000,2.98649761987,2904662604.82053,74.0,1.16173565600974,4501419.0,1.38031497800777,2061649.902
TTO,1991,30.4622794435,5362823408.94118,36.1,0.716394692956501,1224233.0,3.27170213541825,106753.1176
TTO,1992,30.9440173873,5532117353.41177,35.6,0.77462179223479,1233753.0,3.26625691868824,110297.5182
TTO,1993,31.230328437,4584646145.07445,35.2,0.794161462579669,1243590.0,3.22522041264126,113912.844
TTO,1994,31.2306048345,4947205981.57637,34.6,0.753831791459457,1253000.0,3.12719022466891,117531.4
TTO,1995,31.230880388,5329214154.85283,34.0,0.671562785980306,1261443.0,2.98989633154601,121098.528
TTO,1996,31.2311551358,5759537847.67465,33.5,0.585546277717366,1268851.0,3.05480753675451,124854.9384
TTO,1997,31.2314290011,5737751324.18032,32.8,0.51951313061959,1275460.0,2.92926828852565,128566.368
TTO,1998,31.2393794215,6043710211.42719,32.6,0.464321077504237,1281396.0,2.81737081852365,132240.0672
TTO,1999,31.2393794215,6808976088.59679,32.0,0.426358185793724,1286871.0,2.72531000826356,135893.5776
TTO,2000,31.2393794215,8154315708.34827,31.6,0.402260550359381,1292058.0,2.64954613556524,139542.264
TUN,1991,1.2534062668,13074782608.6957,46.1,1.98882264010002,8318200.0,3.22467771047971,4876128.84
TUN,1992,1.2533854583,15497286295.7938,43.5,2.04313364178067,8489900.0,3.26390159977361,5037906.66
TUN,1993,1.29382085581,14608946896.483,41.3,1.95372248582552,8657400.0,3.15976725507636,5199634.44
TUN,1994,1.29380096594,15632463424.2784,39.2,1.80857454691496,8815400.0,3.00024704026124,5358000.12
TUN,1995,1.29589210591,18030876599.3444,37.3,1.59909781786942,8957500.0,2.77673655025194,5508862.5
TUN,1996,1.29587273656,19587322786.1105,35.5,1.46067273264003,9089300.0,2.07665782187935,5624458.84
TUN,1997,1.29585341552,18897006962.6549,33.6,1.37346935984146,9215000.0,1.98568329070113,5737259.0
TUN,1998,1.29583414409,19812681127.6017,31.8,1.27560589503586,9333300.0,1.88409456194442,5846379.12
TUN,1999,1.29583414409,20798853481.7063,30.1,1.305023523957,9455900.0,1.90983198861509,5959108.18
TUN,2000,1.29583414409,19443277157.6567,28.4,1.13148835367365,9563500.0,1.73266086507882,6063259.0
TUR,1991,1.74193468051,151041248184.246,76.8,1.71912534752096,55068880.0,2.69408684410413,32920176.464
TUR,1992,1.7419391523,159095003188.105,73.4,1.6983134187583,56012109.0,2.66386112314391,33808908.9924
TUR,1993,1.88231809808,180422294772.264,70.1,1.67811569263348,56959988.0,2.63442965842495,34711416.6872
TUR,1994,1.88761674455,130690172297.297,67.2,1.65630069530103,57911273.0,2.6035558592836,35627015.1496
TUR,1995,1.88837537987,169485941048.035,63.1,1.63286603336027,58864649.0,2.57123240756474,36554947.029
TUR,1996,1.88837745725,181475555282.555,58.8,1.6132394803244,59821978.0,2.44711217620704,37460522.6236
TUR,1997,1.88837953974,189834649111.257,54.9,1.5940596163513,60783217.0,2.42103633950991,38378523.2138
TUR,1998,1.8883816299,269287100115.075,50.6,1.56616141108194,61742674.0,2.38635528349205,39305386.2684
TUR,1999,1.8883816951,249751470869.15,46.5,1.52683447649146,62692616.0,2.34035585926787,40236120.9488
TUR,2000,1.88838170149,266567531989.763,42.7,1.4807782618639,63627862.0,2.28773484437831,41167226.714
TZA,1991,26.5127625021,4956597377.66083,154.6,3.29125996151896,26331511.0,4.97020810917395,5060916.4142
TZA,1992,26.7172397712,4601414688.3908,154.6,3.35713831921018,27230502.0,5.0083626264592,5320840.0908
TZA,1993,26.8254181073,4257702335.04202,154.9,3.32914919395962,28152305.0,4.95355039419861,5591047.773
TZA,1994,26.8264661484,4510845976.86805,155.2,3.18787336073751,29064223.0,4.78630899158115,5865160.2014
TZA,1995,26.8516838788,5255236879.18318,154.6,2.98120529102675,29943732.0,4.5544924129167,6138465.06
TZA,1996,26.8516937706,6496158706.98662,151.8,2.76476042602308,30783155.0,4.50561676884948,6421366.133
TZA,1997,26.8677672488,7683883940.27145,147.4,2.59505432131034,31592450.0,4.3061226826314,6703917.89
TZA,1998,26.8677803816,9345191090.9173,141.4,2.48905331636367,32388671.0,4.17133598077883,6989475.2018
TZA,1999,26.8677803816,9697835544.33643,136.0,2.46599967698313,33197305.0,4.12044917869268,7283488.717
TZA,2000,26.9160579078,10185767294.2617,130.2,2.50135796401336,34038161.0,4.12888032591227,7590509.903
UGA,1991,7.83641033014,3321729207.85836,174.4,3.41554199297934,18314701.0,4.49082117060553,2054909.4522
UGA,1992,7.8363901981,2857457785.70851,173.1,3.33463316328162,18935726.0,4.39847298378721,2147311.3284
UGA,1993,7.92431074102,3220439178.15143,171.3,3.25368196087958,19561967.0,4.30632325957831,2241801.4182
UGA,1994,7.92428764778,3990430537.18124,169.6,3.17701810972651,20193432.0,4.21869419555206,2338399.4256
UGA,1995,7.92426453397,5755818793.1142,166.9,3.10884591784734,20831075.0,4.13978288373346,2437235.775
UGA,1996,7.92424141194,6044585326.938,164.0,3.03780389123128,21473592.0,3.71923753320432,2529589.1376
UGA,1997,7.92421826523,6269333313.17108,160.0,2.98022525198695,22123185.0,3.65704678660082,2623809.741
UGA,1998,7.92419510618,6584815846.52754,155.1,2.96449204574871,22788843.0,3.63676348523638,2720987.8542
UGA,1999,7.92419520489,5998563257.94659,149.7,2.99857940991553,23482533.0,3.66636152417608,2822600.4666
UGA,2000,7.92419520489,6193246632.3273,144.3,3.06377668260612,24213120.0,3.72712903216952,2929787.52
UKR,1991,1.95894573833,77464043753.2963,20.4,0.20881162673899,52000469.7386476,0.268673945198305,34757113.973312
UKR,1992,2.05630853565,73942294099.2892,20.2,0.287652501582923,52150265.7333594,0.347479006508238,34878097.7224708
UKR,1993,2.22919709124,65648559194.6496,20.0,0.0554856974892923,52179209.7011827,0.115276431706976,34918327.1320315
UKR,1994,2.35980186653,52549555009.5044,19.8,-0.496000604985387,51921041.293102,-0.436245598725716,34766329.2498611
UKR,1995,2.74635048867,48213868185.1625,19.6,-0.790354088025409,51512298.6056728,-0.730634767050787,34513240.0658008
UKR,1996,3.27743173713,44558077827.135,19.3,-0.887422999029219,51057188.9809848,-0.857576707209379,34218528.055056
UKR,1997,3.41306190665,50150399813.1328,18.9,-0.911128913162388,50594105.0194585,-0.881291526696061,33918288.005045
UKR,1998,3.50125276406,41883241479.9014,18.5,-0.893741564457385,50143939.1300684,-0.86391307803189,33626525.5806238
